Delaware Valley College (PA)	www.delval.edu	70.32.89.131	34.02	-118.393
Delta State University (MS)	www.deltastate.edu	209.147.241.65	33.636	-90.514
Denison University (OH)	denison.edu	23.253.67.168	29.489	-98.399
Denver Seminary (CO)	www.denverseminary.edu	98.129.229.84	29.489	-98.399
DePaul University (IL)	www.depaul.edu	216.220.178.116	41.878	-87.627
DePauw University (IN)	www.depauw.edu	50.56.112.165	29.489	-98.399
Des Moines University–Osteopathic Medical Center (IA)	www.dmu.edu	192.189.247.5	41.579	-93.68
DeSales University (PA)	www.desales.edu	209.177.19.48	43.1	-77.426
DeVry University (IL)	www.devry.edu	166.78.67.22	29.489	-98.399
DeVry University–Addison (IL)	www.devry.edu	166.78.67.22	29.489	-98.399
DeVry University–Arlington (VA)	www.devry.edu	166.78.67.22	29.489	-98.399
DeVry University–Chicago (IL)	www.chi.devry.edu	206.209.110.192	41.837	-87.961
DeVry University–Georgia (GA)	www.atl.devry.edu	206.209.110.192	41.837	-87.961
DeVry University–Irving (TX)	www.dal.devry.edu	206.209.110.192	41.837	-87.961
DeVry University–Kansas City (MO)	www.kc.devry.edu	206.209.110.192	41.837	-87.961
DeVry University–Long Beach (CA)	www.lb.devry.edu	206.209.110.192	41.837	-87.961
DeVry University–Orlando (FL)	www.orl.devry.edu	206.209.110.192	41.837	-87.961
DeVry University–Phoenix (AZ)	www.phx.devry.edu	206.209.110.192	41.837	-87.961
DeVry University–Pomona (CA)	www.pom.devry.edu	206.209.110.192	41.837	-87.961
Dickinson College (PA)	www.dickinson.edu	64.9.56.13	40.181	-77.214
Dickinson State University (ND)	www.dickinsonstate.edu	216.151.6.214	45.216	-122.667
Dillard University (LA)	www.dillard.edu	184.154.162.122	41.888	-87.637
Divine Word College (IA)	www.dwci.edu	216.152.133.54	33.752	-84.392
Dixie State University (UT)	dixie.edu	144.38.25.107	37.183	-113.6
Doane College (NE)	www.doane.edu	72.15.169.35	40.8	-96.667
